CAT_ENT,NOM_ENT,NOM_ABR,CVE_INEGI,ABR_OFICIAL
1,Aguascalientes,AG,1,Ags
2,Baja California,BC,2,BC
3,Baja California Sur,BS,3,BCS
4,Campeche,CA,4,Camp
5,Coahuila de Zaragoza,CO,5,Coah
6,Colima,CL,6,Col
7,Chiapas,CS,7,Chis
8,Chihuahua,CH,8,Chih
9,Ciudad de México,CM,9,CDMX
10,Durango,DG,10,Dgo
11,Guanajuato,GT,11,Gto
12,Guerrero,GR,12,Gro
13,Hidalgo,HG,13,Hgo
14,Jalisco,JA,14,Jal
15,México,MX,15,Mex
16,Michoacán de Ocampo,MI,16,Mich
17,Morelos,MO,17,Mor
18,Nayarit,NY,18,Nay
19,Nuevo León,NL,19,NL
20,Oaxaca,OX,20,Oax
21,Puebla,PU,21,Pue
22,Querétaro,QT,22,Qro
23,Quintana Roo,QR,23,Q Roo
24,San Luis Potosí,SL,24,SLP
25,Sinaloa,SI,25,Sin
26,Sonora,SO,26,Son
27,Tabasco,TB,27,Tab
28,Tamaulipas,TM,28,Tamps
29,Tlaxcala,TL,29,Tlax
30,Veracruz de Ignacio de la Llave,VZ,30,Ver
31,Yucatán,YU,31,Yuc
32,Zacatecas,ZA,32,Zac
